A,B,C,D,Ans1,Ans2,Ans3,Ans4,type_relation,type_relation_jones,semantic_distance_near_far,distractor_salience_high_low
designs,design,poetry,poem,write,open,store,clouds,actie-resultaat,causal,far,high
run,tired,hit,pain,boxing glove,boxer,lettuce,athletics,actie-resultaat,causal,,high
leather,knowledge,hit,pain,boxing glove,boxer,lettuce,athletics,actie-resultaat,causal,far,high
dismiss,unemployed,dig,pit,scoop,soil,work,beach,actie-resultaat,causal,far,low
leather,knowledge,build,house,abort,builder,books,stone,actie-resultaat,causal,,high
work,money,accident,injured,car,dangerous,street,Monday,actie-resultaat,causal,far,low
prepare,meal,composing,music,microphone,singer,saw,instrument,actie-resultaat,causal,,low
cooking,dinner,composing,music,microphone,singer,saw,instrument,actie-resultaat,causal,,low
shout,hoarse,write,book,empty,phone,pen,computer,actie-resultaat,causal,far,low
write,book,composing,music,composer,orchestra,nuts,producer,actie-resultaat,causal,,low
calculate,reply,composing,music,composer,orchestra,nuts,producer,actie-resultaat,causal,far,low
multiply,product,shaving,smooth,hair,chin,beard,morning,actie-resultaat,causal,,high
grub,potatoes,shaving,smooth,hair,chin,beard,morning,actie-resultaat,causal,far,high
painting,painting,shaving,smooth,hair,chin,beard,morning,actie-resultaat,causal,,high
press,fruit juice,purée,puree,tomatoes,fruit,blender,PU foam,actie-resultaat,causal,near,low
multiply,product,purée,puree,tomatoes,fruit,blender,PU foam,actie-resultaat,causal,far,low
black driving,fine,seeding,plant,earth,sharks,field,farmer,actie-resultaat,causal,far,low
photography,photo,seeding,plant,earth,sharks,field,farmer,actie-resultaat,causal,far,low
seeding,plant,rush,on time,slow,late,train,together,actie-resultaat,causal,,
write,book,rush,on time,slow,late,train,together,actie-resultaat,causal,,
drill,hole,carpentry,cabinet,wood,hammer,carpenter,school,actie-resultaat,causal,far,high
seeding,plant,carpentry,cabinet,wood,hammer,carpenter,school,actie-resultaat,causal,far,high
build,house,cut,hairstyle,scissors,link,llama,laugh,actie-resultaat,causal,far,high
draw,drawing,masonry,wall,carpentry,builder,brick,cement,actie-resultaat,causal,,high
puppy,dog,kitten,cat,mouse,chunks,fish,basket,classificatie,categorical,near,low
calf,cow,kitten,cat,mouse,chunks,fish,basket,classificatie,categorical,near,low
mother,family member,Africa,continent,dollar,countries,south,warm,classificatie,categorical,far,low
Belgium,country,Africa,continent,dollar,countries,south,warm,classificatie,categorical,,low
sadness,emotion,table,furniture,hit,put down,angry,chair,classificatie,categorical,far,high
knife,cutlery,table,furniture,hit,put down,angry,chair,classificatie,categorical,,high
Rotterdam,city,blue,color,flag,boat,book,mouth,classificatie,categorical,far,low
lemon,fruit,blue,color,flag,boat,book,mouth,classificatie,categorical,,low
pants,clothing,peanut butter,siege,bread,sprinkles,lubricate,knife,classificatie,categorical,far,high
apple,fruit,peanut butter,siege,bread,sprinkles,lubricate,knife,classificatie,categorical,,high
sweater,clothing,winter,season,cold,snow,freeze,summer,classificatie,categorical,,high
cauliflower,vegetable,winter,season,cold,snow,freeze,summer,classificatie,categorical,far,high
hand,body part,train,means of transport,bus,station,ticket,conductor,classificatie,categorical,far,high
house,building,train,means of transport,bus,station,ticket,conductor,classificatie,categorical,far,high
Belgium,country,bracelet,jewelry,ring,animal,color,plant,classificatie,categorical,far,low
sweater,clothing,bracelet,jewelry,ring,animal,color,plant,classificatie,categorical,near,low
cabinet,furniture,sparrow,bird,mees,tree,nest,beak,classificatie,categorical,far,low
mouse,rodent,sparrow,bird,mees,tree,nest,beak,classificatie,categorical,near,low
school,building,cabinet,furniture,table,la,door,sound,classificatie,categorical,,high
church,building,cabinet,furniture,table,la,door,sound,classificatie,categorical,,high
green,color,ring,jewelry,gold,book,air,vehicle,classificatie,categorical,,low
witch,fairy tale character,ring,jewelry,gold,book,air,vehicle,classificatie,categorical,,low
lego,toy,grandpa,family member,sister,sweet,beard,play,classificatie,categorical,,high
car,means of transport,grandpa,family member,sister,sweet,beard,play,classificatie,categorical,,high
mouse,rodent,letter carrier,occupation,animal,fireman,packages,stamp,classificatie,categorical,far,high
Rotterdam,city,letter carrier,occupation,animal,fireman,packages,stamp,classificatie,categorical,far,high
car,means of transport,euro,currency,plant,house,forest,cloud,classificatie,categorical,far,low
yellow,color,euro,currency,plant,house,forest,cloud,classificatie,categorical,far,low
witch,fairy tale character,summer,season,warm,sun,winter,vacation,classificatie,categorical,far,high
hand,body part,summer,season,warm,sun,winter,vacation,classificatie,categorical,far,high
house,building,car,vehicle,bike,send,drive,pollution,classificatie,categorical,,high
sadness,emotion,car,vehicle,bike,send,drive,pollution,classificatie,categorical,,high
chicken,bird,head,body part,header,beak,beast,hat,classificatie,categorical,far,high
cabinet,furniture,head,body part,header,beak,beast,hat,classificatie,categorical,far,high
church,building,pop,toy,lego,clothes,girls,play,classificatie,categorical,far,high
school,building,pop,toy,lego,clothes,girls,play,classificatie,categorical,,high
four,number,root,vegetable,fruit,clothing,country,color,classificatie,categorical,far,low
cola,soda,root,vegetable,fruit,clothing,country,color,classificatie,categorical,,low
cactus,plant,root,vegetable,fruit,clothing,country,color,classificatie,categorical,,low
pigeon,bird,shark,fish,mammal,sea,water,teeth,classificatie,categorical,near,low
sweater,clothing,shark,fish,mammal,sea,water,teeth,classificatie,categorical,,low
hose,reptile,shark,fish,mammal,sea,water,teeth,classificatie,categorical,near,low
lemon,fruit,sock,clothing,shoe,toy,color,glove,classificatie,categorical,far,high
lego,toy,sock,clothing,shoe,toy,color,glove,classificatie,categorical,far,high
yellow,color,one hundred,number,euro,duration,centimeter,thousand,classificatie,categorical,far,high
green,color,one hundred,number,euro,duration,centimeter,thousand,classificatie,categorical,far,high
sweater,clothing,flat,building,high,money,live,elevator,classificatie,categorical,far,high
drop,candy,flat,building,high,money,live,elevator,classificatie,categorical,far,high
cauliflower,vegetable,foot,body part,book,clothing,feel,animal,classificatie,categorical,far,low
peach,fruit,foot,body part,book,clothing,feel,animal,classificatie,categorical,far,low
apple,fruit,cow,mammal,plant,house,garden,hand,classificatie,categorical,far,low
chicken,bird,cow,mammal,plant,house,garden,hand,classificatie,categorical,near,low
ladybug,bug,cow,mammal,plant,house,garden,hand,classificatie,categorical,far,low
peach,fruit,hospital,building,doctor,food,nice,sick,classificatie,categorical,far,high
mother,family member,hospital,building,doctor,food,nice,sick,classificatie,categorical,far,high
knife,cutlery,bird,animal,plant,cut,brown,meat,classificatie,categorical,far,low
tulip,flower,bird,animal,plant,cut,brown,meat,classificatie,categorical,,low
frog,amphibian,bird,animal,plant,cut,brown,meat,classificatie,categorical,near,low
tulip,flower,pink,finger,hand,nail,bite,toe,classificatie,categorical,,low
pigeon,bird,pink,finger,hand,nail,bite,toe,classificatie,categorical,far,low
oak,tree,pink,finger,hand,nail,bite,toe,classificatie,categorical,far,low
cola,soda,lollipop,candy,cake,vegetable,fruit,healthy,classificatie,categorical,near,low
four,number,lollipop,candy,cake,vegetable,fruit,healthy,classificatie,categorical,far,low
drop,candy,cup,tableware,cup,drink,coffee,milk,classificatie,categorical,,high
puppy,dog,cup,tableware,cup,drink,coffee,milk,classificatie,categorical,far,high
nail,finger,lips,mouth,fuselage,trials,cheek,ear,deel - geheel,compositional,near,low
heart valve,heart,lips,mouth,fuselage,trials,cheek,ear,deel - geheel,compositional,,low
earring,ear,lips,mouth,fuselage,trials,cheek,ear,deel - geheel,compositional,near,low
paw,chair,finger,hand,toe,ring,nail,wrist,deel - geheel,compositional,near,high
leg,body,finger,hand,toe,ring,nail,wrist,deel - geheel,compositional,near,high
space bar,keyboard,mouth,face,lips,nose,food,intestines,deel - geheel,compositional,,high
seat,chair,mouth,face,lips,nose,food,intestines,deel - geheel,compositional,near,high
tree,forest,mouth,face,lips,nose,food,intestines,deel - geheel,compositional,,high
leg,body,paw,dog,arm,muzzle,claw,tail,deel - geheel,compositional,,high
beak,duck,paw,dog,arm,muzzle,claw,tail,deel - geheel,compositional,near,high
key,piano,string,violin,conductor,drum,music,note,deel - geheel,compositional,near,high
key,keyboard,string,violin,conductor,drum,music,note,deel - geheel,compositional,,high
bird,swarm,dog,pack,herd,club,guinea pig,horse,deel - geheel,compositional,near,low
person,group,dog,pack,herd,club,guinea pig,horse,deel - geheel,compositional,,low
page,book,leaf,tree,earth,veins,biology,school,deel - geheel,compositional,,high
branches,bush,leaf,tree,earth,veins,biology,school,deel - geheel,compositional,near,high
seat,chair,pillow,bed,sisters,cotton,sleep,dream,deel - geheel,compositional,near,low
paw,chair,pillow,bed,sisters,cotton,sleep,dream,deel - geheel,compositional,near,low
key,keyboard,page,book,paper,read,cover,title,deel - geheel,compositional,far,high
key,piano,page,book,paper,read,cover,title,deel - geheel,compositional,far,high
sand,desert,tree,forest,bark,sea,whale,acorns,deel - geheel,compositional,near,low
pit,fruit,tree,forest,bark,sea,whale,acorns,deel - geheel,compositional,near,low
here,everywhere,now,always,soon,nowhere,clock,never,deel - geheel,compositional,near,high
planet,universe,now,always,soon,nowhere,clock,never,deel - geheel,compositional,far,high
you,everyone,now,always,soon,nowhere,clock,never,deel - geheel,compositional,near,high
her,brush,cap,bottle,nose,pan,store,little hole,deel - geheel,compositional,,low
nail,finger,cap,bottle,nose,pan,store,little hole,deel - geheel,compositional,,low
send,car,air,lungs,lunch,breathe,brakes,oil,deel - geheel,compositional,,low
room,house,air,lungs,lunch,breathe,brakes,oil,deel - geheel,compositional,,low
port,city,door,house,chimney,window,threshold,robe,deel - geheel,compositional,near,high
send,car,door,house,chimney,window,threshold,robe,deel - geheel,compositional,near,high
room,house,soprano,vocal choir,swan,song,sing,old,deel - geheel,compositional,far,high
mother,parents,soprano,vocal choir,swan,song,sing,old,deel - geheel,compositional,,high
spoke,wheel,grade,phone number,conversation,fingers,phone case,call,deel - geheel,compositional,far,
page,book,grade,phone number,conversation,fingers,phone case,call,deel - geheel,compositional,far,
grass,soccer field,water,sea,fish,plants,dolphin,salt,deel - geheel,compositional,near,high
sand,desert,water,sea,fish,plants,dolphin,salt,deel - geheel,compositional,near,high
branches,bush,sleeves,sweater,pipe,pants,cat,button,deel - geheel,compositional,,high
her,brush,sleeves,sweater,pipe,pants,cat,button,deel - geheel,compositional,,high
tomato,pizza,sugar,pancake,milk,banana,cheese,delivery driver,deel - geheel,compositional,near,high
grass,soccer field,sugar,pancake,milk,banana,cheese,delivery driver,deel - geheel,compositional,far,high
mother,parents,Miss,teachers,apprentice,calculate,father,friend,deel - geheel,compositional,near,high
bird,swarm,Miss,teachers,apprentice,calculate,father,friend,deel - geheel,compositional,far,high
brick,building,letter,word,spelling,drawing,grammar,read,deel - geheel,compositional,,high
space bar,keyboard,letter,word,spelling,drawing,grammar,read,deel - geheel,compositional,,high
page,book,letter,word,spelling,drawing,grammar,read,deel - geheel,compositional,,high
planet,universe,minute,hours,appointment,second,sixty,clock,deel - geheel,compositional,far,high
hello,week,minute,hours,appointment,second,sixty,clock,deel - geheel,compositional,near,high
stem,plant,clock,church,god,pray,mosque,faith,deel - geheel,compositional,,low
tomato,pizza,clock,church,god,pray,mosque,faith,deel - geheel,compositional,far,low
lace,shoe,clock,church,god,pray,mosque,faith,deel - geheel,compositional,far,low
hello,week,checkout,supermarket,pay,month,shopping,traffic circle,deel - geheel,compositional,,low
month,year,checkout,supermarket,pay,month,shopping,traffic circle,deel - geheel,compositional,far,low
month,year,hello,month,hours,birthday,time,watch,deel - geheel,compositional,near,low
here,everywhere,hello,month,hours,birthday,time,watch,deel - geheel,compositional,near,low
heart valve,heart,chalice,flower,milk,body,mess,watering can,deel - geheel,compositional,,low
zipper,jacket,chalice,flower,milk,body,mess,watering can,deel - geheel,compositional,far,low
person,group,country,continent,capital,inhabitants,Netherlands,ocean,deel - geheel,compositional,,low
port,city,country,continent,capital,inhabitants,Netherlands,ocean,deel - geheel,compositional,,low
beak,duck,muzzle,mouse,paws,tail,handkerchief,whiskers,deel - geheel,compositional,near,high
stem,plant,muzzle,mouse,paws,tail,handkerchief,whiskers,deel - geheel,compositional,far,high
hoof,horse,muzzle,mouse,paws,tail,handkerchief,whiskers,deel - geheel,compositional,far,high
pit,fruit,sleeve,jacket,pants,cat,scarf,fabric,deel - geheel,compositional,,low
brick,building,sleeve,jacket,pants,cat,scarf,fabric,deel - geheel,compositional,,low
pens,pencil case,sleeve,jacket,pants,cat,scarf,fabric,deel - geheel,compositional,near,low
zipper,jacket,laces,shoe,hat,map,eye,mother,deel - geheel,compositional,near,low
spoke,wheel,laces,shoe,hat,map,eye,mother,deel - geheel,compositional,far,low
buttons,shirt,laces,shoe,hat,map,eye,mother,deel - geheel,compositional,near,low
fire truck,rose,lemon,daffodil,snowdrop,grass,cucumber,clover,delen een eigenschap,compositional?,far,high
ink,raven,lemon,daffodil,snowdrop,grass,cucumber,clover,delen een eigenschap,compositional?,far,high
lemon,sun,cookie monster,the sky,food,earth,forest,cookies,delen een eigenschap,compositional?,,
frog,grass,cookie monster,the sky,food,earth,forest,cookies,delen een eigenschap,compositional?,,
tea towel,towel,glasses,lenses,sweater,potato,face,eyes,delen een eigenschap,compositional?,,low
vacuum cleaner,broom,glasses,lenses,sweater,potato,face,eyes,delen een eigenschap,compositional?,far,low
snow,sugar,coffee,date,salt,cauliflower,notebook,gold,delen een eigenschap,compositional?,near,high
lemon,sun,coffee,date,salt,cauliflower,notebook,gold,delen een eigenschap,compositional?,near,high
snow,paper,drop,ant,cabinet,Miss,coat rack,house,delen een eigenschap,compositional?,far,high
snow,sugar,drop,ant,cabinet,Miss,coat rack,house,delen een eigenschap,compositional?,far,high
sun,moon,rain,snow,chair,chicken,basket,door,delen een eigenschap,compositional?,near,low
scissors,knife,rain,snow,chair,chicken,basket,door,delen een eigenschap,compositional?,,low
pencil,typewriter,grandpa,grandma,retirement home,tissues,tablets,clowns,delen een eigenschap,compositional?,far,low
giant,mountain,grandpa,grandma,retirement home,tissues,tablets,clowns,delen een eigenschap,compositional?,,low
father,mother,grandpa,grandma,retirement home,tissues,tablets,clowns,delen een eigenschap,compositional?,near,low
watch,clock,letter,email,letter,time,minutes,paper,delen een eigenschap,compositional?,far,low
notebook,book,letter,email,letter,time,minutes,paper,delen een eigenschap,compositional?,,low
pancake,sign,egg,tennis ball,chicken,calendar,poster,baking dish,delen een eigenschap,compositional?,near,high
chain,bracelet,egg,tennis ball,chicken,calendar,poster,baking dish,delen een eigenschap,compositional?,far,high
Paris,Rome,amusement park,playground,school,greengrocer,bicycle mechanic,doctor,delen een eigenschap,compositional?,far,low
scissors,knife,chick,silk,sandpaper,sword,phone,tree,delen een eigenschap,compositional?,,high
freezer,North Pole,chick,silk,sandpaper,sword,phone,tree,delen een eigenschap,compositional?,far,high
frog,grass,root,tangerine,path,pond,ant,table,delen een eigenschap,compositional?,,high
lemon,sun,root,tangerine,path,pond,ant,table,delen een eigenschap,compositional?,,high
blood,lips,grass,frog,lemon,fish,tangerine,rainbow,delen een eigenschap,compositional?,,high
sun,corn,grass,frog,lemon,fish,tangerine,rainbow,delen een eigenschap,compositional?,far,high
lamb,cub,magnifying glass,microscope,kaleidoscope,stethoscope,cinema,cheap,delen een eigenschap,compositional?,far,low
lighter,match,magnifying glass,microscope,kaleidoscope,stethoscope,cinema,cheap,delen een eigenschap,compositional?,far,low
crocodile,hose,tiger,lion,blackbird,goldfish,lizard,otter,delen een eigenschap,compositional?,near,high
lamb,cub,tiger,lion,blackbird,goldfish,lizard,otter,delen een eigenschap,compositional?,near,high
baby,puppy,spin,ladybug,giant,elephant,giraffe,cooking,delen een eigenschap,compositional?,,low
crocodile,hose,spin,ladybug,giant,elephant,giraffe,cooking,delen een eigenschap,compositional?,near,low
dolphin,fish,hose,spin,forest,tree,terrarium,bat,delen een eigenschap,compositional?,,high
otter,goldfish,hose,spin,forest,tree,terrarium,bat,delen een eigenschap,compositional?,,high
chain,bracelet,newspaper,journal,magazine,book,clock house,minister,delen een eigenschap,compositional?,far,high
pencil,typewriter,newspaper,journal,magazine,book,clock house,minister,delen een eigenschap,compositional?,far,high
otter,goldfish,hare,cheetah,forest,Africa,dolphin,desert,delen een eigenschap,compositional?,near,low
mouse,elephant,hare,cheetah,forest,Africa,dolphin,desert,delen een eigenschap,compositional?,near,low
Netherlands,France,cola,orange juice,cork,bottle,glass,drink,delen een eigenschap,compositional?,far,low
candy,cookies,cola,orange juice,cork,bottle,glass,drink,delen een eigenschap,compositional?,near,low
freezer,North Pole,oven,desert,ladle,ocean,mouse,bubble,delen een eigenschap,compositional?,near,high
snow,paper,oven,desert,ladle,ocean,mouse,bubble,delen een eigenschap,compositional?,,high
giant,mountain,gnome,mouse,dog,elephant,hippo,rhino,delen een eigenschap,compositional?,far,high
baby,puppy,gnome,mouse,dog,elephant,hippo,rhino,delen een eigenschap,compositional?,,high
mouse,elephant,water,glass,purple,sea,mittens,safari,delen een eigenschap,compositional?,far,high
fire truck,rose,water,glass,purple,sea,mittens,safari,delen een eigenschap,compositional?,far,high
ink,raven,iron,stone,milk,oxygen,gas,water,delen een eigenschap,compositional?,far,high
blood,lips,iron,stone,milk,oxygen,gas,water,delen een eigenschap,compositional?,,high
candy,cake,fries,croquette,mayonnaise,tangerine,drop,peanut butter,delen een eigenschap,compositional?,near,high
sun,moon,fries,croquette,mayonnaise,tangerine,drop,peanut butter,delen een eigenschap,compositional?,far,high
apple,pear,fries,croquette,mayonnaise,tangerine,drop,peanut butter,delen een eigenschap,compositional?,,high
sparrow,plane,chocolate,cookies,blackbird,pure,calendar,pastry chef,delen een eigenschap,compositional?,far,low
salt,paper,chocolate,cookies,blackbird,pure,calendar,pastry chef,delen een eigenschap,compositional?,near,low
pepper,sambal,chocolate,cookies,blackbird,pure,calendar,pastry chef,delen een eigenschap,compositional?,near,low
Paris,Rome,Terschelling,Iceland,city,Germany,the Rhine,Limburg,delen een eigenschap,compositional?,far,high
Netherlands,France,Terschelling,Iceland,city,Germany,the Rhine,Limburg,delen een eigenschap,compositional?,far,high
notebook,book,cup,sign,knife,pan,fork,refrigerator,delen een eigenschap,compositional?,far,high
watch,clock,cup,sign,knife,pan,fork,refrigerator,delen een eigenschap,compositional?,,high
salt,paper,sermon,speech,white,pastor,president,elections,delen een eigenschap,compositional?,far,high
sparrow,plane,sermon,speech,white,pastor,president,elections,delen een eigenschap,compositional?,far,high
shoulder bag,backpack,notebook,notebook,wheelchair,bank,knife,grass,dezelfde categorie,categorical,far,high
car,bike,notebook,notebook,wheelchair,bank,knife,grass,dezelfde categorie,categorical,,high
slippers,shoes,notebook,notebook,wheelchair,bank,knife,grass,dezelfde categorie,categorical,far,high
happy,angry,run,run,traffic light,cry,shopping,sad,dezelfde categorie,categorical,,
comic book,reading book,run,run,traffic light,cry,shopping,sad,dezelfde categorie,categorical,far,
shoe,clog,sun,moon,low,sinterklaas,cake,cold,dezelfde categorie,categorical,,low
oak,birch,sun,moon,low,sinterklaas,cake,cold,dezelfde categorie,categorical,,low
horse,donkey,mouse,rat,muzzle,paws,elephant,zebra,dezelfde categorie,categorical,near,low
root,cauliflower,mouse,rat,muzzle,paws,elephant,zebra,dezelfde categorie,categorical,far,low
arms,legs,keyboard,mouse,air,grass,chicken,bus,dezelfde categorie,categorical,,low
tablet,laptop,keyboard,mouse,air,grass,chicken,bus,dezelfde categorie,categorical,near,low
vacuum cleaner,iron,keyboard,mouse,air,grass,chicken,bus,dezelfde categorie,categorical,,low
Spain,Netherlands,Rome,Berlin,Flevoland,Brazil,Barcelona,France,dezelfde categorie,categorical,,low
Earth,Mars,Rome,Berlin,Flevoland,Brazil,Barcelona,France,dezelfde categorie,categorical,far,low
pencil,pen,six,nineteen,yawn,blessing,onions,paper,dezelfde categorie,categorical,,low
two,five,six,nineteen,yawn,blessing,onions,paper,dezelfde categorie,categorical,near,low
dress,sock,pen,pencil,filling,write,magazine,paper,dezelfde categorie,categorical,far,low
knife,fork,pen,pencil,filling,write,magazine,paper,dezelfde categorie,categorical,near,low
custard,yogurt,blue,green,air,beautiful,smurf,sign,dezelfde categorie,categorical,,low
happy,angry,blue,green,air,beautiful,smurf,sign,dezelfde categorie,categorical,,low
cat,tiger,dog,wolf,lion,sheep,mouse,bone,dezelfde categorie,categorical,near,low
lion,tiger,dog,wolf,lion,sheep,mouse,bone,dezelfde categorie,categorical,near,low
lion,tiger,grasshopper,cricket,camouflage,spin,elephant,nature,dezelfde categorie,categorical,near,high
horse,donkey,grasshopper,cricket,camouflage,spin,elephant,nature,dezelfde categorie,categorical,,high
door,port,euro,dollar,money,wallet,pay,store,dezelfde categorie,categorical,far,low
table,chair,euro,dollar,money,wallet,pay,store,dezelfde categorie,categorical,far,low
ranja,apple juice,syrup waffle,spice nut,ice cream,chocolate,drop,bacon,dezelfde categorie,categorical,near,high
custard,yogurt,syrup waffle,spice nut,ice cream,chocolate,drop,bacon,dezelfde categorie,categorical,near,high
oak,birch,fly agaric,pixie bench,leaves,grass,autumn,forest,dezelfde categorie,categorical,,low
rose,tulip,fly agaric,pixie bench,leaves,grass,autumn,forest,dezelfde categorie,categorical,,low
rose,tulip,beech,oak,house,hand,girl,outside,dezelfde categorie,categorical,,low
fly agaric,pixie bench,beech,oak,house,hand,girl,outside,dezelfde categorie,categorical,,low
root,cauliflower,drop,bacon,broccoli,pizza,sugar,vegetable,dezelfde categorie,categorical,,high
cola,sinas,drop,bacon,broccoli,pizza,sugar,vegetable,dezelfde categorie,categorical,near,high
flat,house,boy,girl,tree,roof,mouse,bird,dezelfde categorie,categorical,,low
garlands,balloons,boy,girl,tree,roof,mouse,bird,dezelfde categorie,categorical,,low
leg,paw,mouth,beak,nose,man,animal,chin,dezelfde categorie,categorical,,high
arms,legs,mouth,beak,nose,man,animal,chin,dezelfde categorie,categorical,near,high
tablet,laptop,whistling kettle,kettle,mug,refrigerator,freezer,saucer,dezelfde categorie,categorical,,low
cup,glass,whistling kettle,kettle,mug,refrigerator,freezer,saucer,dezelfde categorie,categorical,near,low
bar,board,hammer,screwdriver,screw,nail,wood,construction market,dezelfde categorie,categorical,,high
shoulder bag,backpack,hammer,screwdriver,screw,nail,wood,construction market,dezelfde categorie,categorical,,high
garlands,balloons,clock,alarm clock,wall,table,plant,vase,dezelfde categorie,categorical,,low
pencil,pen,clock,alarm clock,wall,table,plant,vase,dezelfde categorie,categorical,,low
cup,glass,stallion,mare,stable,bit,riding school,saddle,dezelfde categorie,categorical,far,low
dog,cat,stallion,mare,stable,bit,riding school,saddle,dezelfde categorie,categorical,near,low
table,chair,chain,ring,dress,bedroom,beautiful,gold,dezelfde categorie,categorical,near,low
shoe,clog,chain,ring,dress,bedroom,beautiful,gold,dezelfde categorie,categorical,far,low
two,five,yellow,red,canary,egg,empty,squint,dezelfde categorie,categorical,far,low
a,three,yellow,red,canary,egg,empty,squint,dezelfde categorie,categorical,far,low
a,three,two,four,nine,seven,three,eleven,dezelfde categorie,categorical,near,high
twenty,fifty,two,four,nine,seven,three,eleven,dezelfde categorie,categorical,near,high
step,bike,gnome,witch,carpenter,Miss,German,Chinese,dezelfde categorie,categorical,far,low
cat,tiger,gnome,witch,carpenter,Miss,German,Chinese,dezelfde categorie,categorical,near,low
car,bike,baker,butcher,duration,pen,cabinet,salt,dezelfde categorie,categorical,,low
fireman,police officer,baker,butcher,duration,pen,cabinet,salt,dezelfde categorie,categorical,near,low
knife,fork,glue,adhesive tape,wall,scissors,paint,spoon,dezelfde categorie,categorical,,low
bar,board,glue,adhesive tape,wall,scissors,paint,spoon,dezelfde categorie,categorical,,low
cola,sinas,apple,banana,cauliflower,potato,water,pizza,dezelfde categorie,categorical,near,low
ranja,apple juice,apple,banana,cauliflower,potato,water,pizza,dezelfde categorie,categorical,near,low
comic book,reading book,clothesline,drying rack,peg,washcloth,washing machine,detergent,dezelfde categorie,categorical,far,low
step,bike,clothesline,drying rack,peg,washcloth,washing machine,detergent,dezelfde categorie,categorical,,low
dehydrated,moisture,only,company,party,duo,caterpillar,sad,gebrek aan,causal?,far,high
almost,time,only,company,party,duo,caterpillar,sad,gebrek aan,causal?,near,high
unemployed,work,only,company,party,duo,caterpillar,sad,gebrek aan,causal?,far,high
almost,time,orphan,parents,girl,boy,substantial,Annie,gebrek aan,causal?,,high
arm,money,orphan,parents,girl,boy,substantial,Annie,gebrek aan,causal?,far,high
drought,water,orphan,parents,girl,boy,substantial,Annie,gebrek aan,causal?,far,high
tired,sleep,hunger,food,arm,mouth,sick,rest,gebrek aan,causal?,near,low
blind,view,hunger,food,arm,mouth,sick,rest,gebrek aan,causal?,,low
hunger,food,thirsty,drink,sleep,banana,food,sore throat,gebrek aan,causal?,near,low
tired,sleep,thirsty,drink,sleep,banana,food,sore throat,gebrek aan,causal?,near,low
power outage,electricity,bored,nice things,happy,exciting,rain,fun,gebrek aan,causal?,,
aging,youth,bored,nice things,happy,exciting,rain,fun,gebrek aan,causal?,,
arm,money,desert,rain,oasis,sand,warm,Africa,gebrek aan,causal?,far,high
power outage,electricity,desert,rain,oasis,sand,warm,Africa,gebrek aan,causal?,,high
dark,light,stuffy,air,candy,doctor,lungs,trachea,gebrek aan,causal?,near,high
nude,clothes,stuffy,air,candy,doctor,lungs,trachea,gebrek aan,causal?,far,high
nude,clothes,bald,hair,brush,head,ears,man,gebrek aan,causal?,near,low
hunger,food,bald,hair,brush,head,ears,man,gebrek aan,causal?,,low
blind,view,deaf,hearing,wheelchair,sad,stick,dog,gebrek aan,causal?,near,high
hunger,food,deaf,hearing,wheelchair,sad,stick,dog,gebrek aan,causal?,,high
hairdresser,hairdresser,master,Miss,teacher,teacher,director,educator,grammatica,0,far,high
agent,agent,master,Miss,teacher,teacher,director,educator,grammatica,0,near,high
pepper,salt,coffee,cookie,chocolate,stir,break,cola,hoort bij elkaar,categorical?,near,high
